City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ankazobe,-18.3167,47.1167,289.66,94,100,1.92,MG,1675638367
1,saint-philippe,-21.3585,55.7679,298.92,86,100,4.84,RE,1675638368
2,bilibino,68.0546,166.4372,237.05,100,100,0.89,RU,1675638368
3,meulaboh,4.1363,96.1285,296.94,88,100,2.59,ID,1675638369
4,brigantine,39.4101,-74.3646,280.45,80,100,4.47,US,1675638123
5,mount gambier,-37.8333,140.7667,290.04,63,36,2.27,AU,1675638371
6,hobart,-42.8794,147.3294,293.18,58,40,6.69,AU,1675638372
7,anadyr,64.75,177.4833,242.59,74,75,6.0,RU,1675638372
8,puerto ayora,-0.7393,-90.3518,303.13,90,35,3.58,EC,1675638121
9,mataura,-46.1927,168.8643,289.16,75,90,5.66,NZ,1675638373
10,osorio,-29.8867,-50.2697,295.47,76,33,1.61,BR,1675638308
11,cape town,-33.9258,18.4232,296.14,74,0,6.69,ZA,1675637776
12,east london,-33.0153,27.9116,296.87,84,39,5.4,ZA,1675638375
13,longyearbyen,78.2186,15.6401,271.06,74,75,8.75,SJ,1675638376
14,hermanus,-34.4187,19.2345,294.15,87,89,5.01,ZA,1675638376
15,ushuaia,-54.8,-68.3,280.94,65,75,14.4,AR,1675638310
16,ostrovnoy,68.0531,39.5131,262.17,93,97,6.64,RU,1675638377
17,ferme-neuve,46.7001,-75.4493,269.67,98,100,0.55,CA,1675638330
18,rikitea,-23.1203,-134.9692,299.32,74,3,6.78,PF,1675638378
19,honiara,-9.4333,159.95,298.17,94,100,3.58,SB,1675638175
20,busselton,-33.65,115.3333,293.22,75,26,4.64,AU,1675638379
21,jamestown,42.097,-79.2353,278.95,60,100,6.17,US,1675638379
22,talnakh,69.4865,88.3972,256.92,97,98,1.34,RU,1675638380
23,brae,60.3964,-1.353,280.85,82,100,10.32,GB,1675638381
24,punta arenas,-53.15,-70.9167,286.21,47,40,9.77,CL,1675638126
25,prince rupert,54.3161,-130.3201,278.2,76,100,10.29,CA,1675638381
26,bluff,-46.6,168.3333,287.88,85,55,11.08,NZ,1675638382
27,sola,-13.8833,167.55,301.02,78,100,8.69,VU,1675638383
28,nikolskoye,59.7035,30.7861,269.09,93,100,3.56,RU,1675638383
29,alofi,-19.0595,-169.9187,297.09,94,90,1.54,NU,1675638384
30,butaritari,3.0707,172.7902,299.85,84,100,8.03,KI,1675638385
31,ballina,-28.8667,153.5667,299.83,75,53,2.69,AU,1675638385
32,tarcal,48.1333,21.35,268.99,70,2,5.92,HU,1675638386
33,qaanaaq,77.484,-69.3632,254.8,55,5,2.97,GL,1675638386
34,bansi,27.1833,82.9333,284.18,77,0,2.65,IN,1675638387
35,huarmey,-10.0681,-78.1522,296.66,76,45,2.97,PE,1675638387
36,carnarvon,-24.8667,113.6333,297.99,73,2,6.8,AU,1675638388
37,sinnamary,5.3833,-52.95,297.63,87,100,5.89,GF,1675638388
38,ponta do sol,32.6667,-17.1,289.5,51,34,2.13,PT,1675638389
39,srednekolymsk,67.45,153.6833,237.57,98,100,2.34,RU,1675638390
40,pevek,69.7008,170.3133,236.79,97,86,1.63,RU,1675638390
41,cap malheureux,-19.9842,57.6142,298.97,81,74,1.79,MU,1675638391
42,vardo,70.3705,31.1107,266.14,93,100,11.83,NO,1675638391
43,champerico,14.3,-91.9167,305.45,63,0,5.29,GT,1675638392
44,cervo,43.6702,-7.4101,285.35,79,45,10.91,ES,1675638393
45,avarua,-21.2078,-159.775,301.18,83,75,5.66,CK,1675638393
46,aksehir,38.3575,31.4164,270.96,96,100,6.18,TR,1675638394
47,hirara,24.8,125.2833,295.07,83,40,6.69,JP,1675638395
48,kapuskasing,49.4169,-82.4331,257.2,72,75,3.6,CA,1675638396
49,khatanga,71.9667,102.5,236.03,99,57,2.89,RU,1675638397
50,atuona,-9.8,-139.0333,299.01,78,44,8.52,PF,1675638397
51,marawi,7.9986,124.2928,293.56,86,85,0.87,PH,1675638398
52,kavaratti,10.5669,72.642,299.79,76,20,3.5,IN,1675638399
53,yerbogachen,61.2767,108.0108,236.6,100,99,1.12,RU,1675638270
